"dataset_id","row_id","latitude","longitude","species_name","scientific_name","common_name","itis_tsn","group_size","series_id","date","time","timezone","ds_type","platform","provider","lprecision","tprecision","oceano","notes","last_mod"
103152481,"103152481_1255838",27.5,-96.5,"Rhincodon typus","Rhincodon typus","whale shark",159857,NA,NA,2003-10-16,"12:00:00",NA,"ptobs","various","Jason Holmberg, ECOCEAN USA",6,111000,"{""oid"": ""103152481_1255838"", ""obsDate"": ""2003-10-16"", ""longitude"": -96.5, ""latitude"": 27.5, ""SST"": {""OISST"": {""DAY"": 26.88, ""8DAYS"": 26.81, ""MONTH"": 26.77, ""YEAR"": 24.76}, ""MODIS"": {""DAY"": 28.09, ""8DAYS"": 27.19, ""MONTH"": 26.96, ""YEAR"": 26.29}, ""HYCOM"": {""MONTH"": 27.12, ""YEAR"": 24.75}}, ""CHLOR-A"": {""MODIS"": {""DAY"": 0.26, ""8DAYS"": 0.22, ""MONTH"": 0.34, ""YEAR"": 0.37}, ""SeaWiFS"": {""DAY"": -9999, ""8DAYS"": 0.23, ""MONTH"": 0.24, ""YEAR"": 0.36}}, ""SALINITY"": {""HYCOM"": {""MONTH"": 35.77, ""YEAR"": 35.58}}, ""BATH"": {""ETOPO1"": -75.0}}",NA,2020-06-30 03:44:11
103152481,"103152481_1256039",21.63333,-86.95,"Rhincodon typus","Rhincodon typus","whale shark",159857,NA,NA,2004-05-22,"12:00:00",NA,"ptobs","various","Jason Holmberg, ECOCEAN USA",6,111000,"{""oid"": ""103152481_1256039"", ""obsDate"": ""2004-05-22"", ""longitude"": -86.95, ""latitude"": 21.633, ""ZONE"": {""WDPA"": [{""DESIG_ENG"": ""Biosphere Reserve"", ""NAME"": ""Tiburón Ballena"", ""NO_TAKE"": ""Not Reported"", ""WDPAID"": 108090}]}, ""SST"": {""OISST"": {""DAY"": 26.3, ""8DAYS"": 26.31, ""MONTH"": 25.96, ""YEAR"": 26.59}, ""MODIS"": {""DAY"": 26.33, ""8DAYS"": 25.63, ""MONTH"": 25.35, ""YEAR"": 26.19}, ""HYCOM"": {""MONTH"": 28.09, ""YEAR"": 27.75}}, ""CHLOR-A"": {""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 1.68, ""YEAR"": 1.96}, ""SeaWiFS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 4.72, ""YEAR"": 2.74}}, ""SALINITY"": {""HYCOM"": {""MONTH"": 36.15, ""YEAR"": 36.18}}, ""BATH"": {""ETOPO1"": -5.0}}",NA,2020-06-30 03:44:11
103152481,"103152481_1256744",21.56194,-86.82056,"Rhincodon typus","Rhincodon typus","whale shark",159857,NA,NA,2005-06-21,"12:00:00",NA,"ptobs","various","Jason Holmberg, ECOCEAN USA",6,111000,"{""oid"": ""103152481_1256744"", ""obsDate"": ""2005-06-21"", ""longitude"": -86.821, ""latitude"": 21.562, ""ZONE"": {""WDPA"": [{""DESIG_ENG"": ""Biosphere Reserve"", ""NAME"": ""Tiburón Ballena"", ""NO_TAKE"": ""Not Reported"", ""WDPAID"": 108090}]}, ""SST"": {""OISST"": {""DAY"": 27.7, ""8DAYS"": 28.15, ""MONTH"": 27.77, ""YEAR"": 26.83}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": 28.12, ""MONTH"": 27.66, ""YEAR"": 26.73}, ""HYCOM"": {""MONTH"": 28.54, ""YEAR"": 27.51}}, ""CHLOR-A"": {""MODIS"": {""DAY"": -9999, ""8DAYS"": 0.68, ""MONTH"": 1.27, ""YEAR"": 0.88}, ""SeaWiFS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 1.83, ""YEAR"": 1.05}}, ""SALINITY"": {""HYCOM"": {""MONTH"": 36.18, ""YEAR"": 36.17}}, ""BATH"": {""ETOPO1"": -10.0}}",NA,2020-06-30 03:44:11
103152481,"103152481_1256745",21.56917,-86.81861,"Rhincodon typus","Rhincodon typus","whale shark",159857,NA,NA,2005-06-21,"12:00:00",NA,"ptobs","various","Jason Holmberg, ECOCEAN USA",6,111000,"{""oid"": ""103152481_1256745"", ""obsDate"": ""2005-06-21"", ""longitude"": -86.819, ""latitude"": 21.569, ""ZONE"": {""WDPA"": [{""DESIG_ENG"": ""Biosphere Reserve"", ""NAME"": ""Tiburón Ballena"", ""NO_TAKE"": ""Not Reported"", ""WDPAID"": 108090}]}, ""SST"": {""OISST"": {""DAY"": 27.7, ""8DAYS"": 28.15, ""MONTH"": 27.77, ""YEAR"": 26.83}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": 28.12, ""MONTH"": 27.66, ""YEAR"": 26.73}, ""HYCOM"": {""MONTH"": 28.54, ""YEAR"": 27.51}}, ""CHLOR-A"": {""MODIS"": {""DAY"": -9999, ""8DAYS"": 0.68, ""MONTH"": 1.27, ""YEAR"": 0.88}, ""SeaWiFS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 1.83, ""YEAR"": 1.05}}, ""SALINITY"": {""HYCOM"": {""MONTH"": 36.18, ""YEAR"": 36.17}}, ""BATH"": {""ETOPO1"": -10.0}}",NA,2020-06-30 03:44:11
103152481,"103152481_1256746",21.56917,-86.81805,"Rhincodon typus","Rhincodon typus","whale shark",159857,NA,NA,2005-06-21,"12:00:00",NA,"ptobs","various","Jason Holmberg, ECOCEAN USA",6,111000,"{""oid"": ""103152481_1256746"", ""obsDate"": ""2005-06-21"", ""longitude"": -86.818, ""latitude"": 21.569, ""ZONE"": {""WDPA"": [{""DESIG_ENG"": ""Biosphere Reserve"", ""NAME"": ""Tiburón Ballena"", ""NO_TAKE"": ""Not Reported"", ""WDPAID"": 108090}]}, ""SST"": {""OISST"": {""DAY"": 27.7, ""8DAYS"": 28.15, ""MONTH"": 27.77, ""YEAR"": 26.83}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": 28.12, ""MONTH"": 27.66, ""YEAR"": 26.73}, ""HYCOM"": {""MONTH"": 28.54, ""YEAR"": 27.51}}, ""CHLOR-A"": {""MODIS"": {""DAY"": -9999, ""8DAYS"": 0.68, ""MONTH"": 1.27, ""YEAR"": 0.88}, ""SeaWiFS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 1.83, ""YEAR"": 1.05}}, ""SALINITY"": {""HYCOM"": {""MONTH"": 36.18, ""YEAR"": 36.17}}, ""BATH"": {""ETOPO1"": -10.0}}",NA,2020-06-30 03:44:11
103152481,"103152481_1256747",21.56528,-86.815,"Rhincodon typus","Rhincodon typus","whale shark",159857,NA,NA,2005-06-21,"12:00:00",NA,"ptobs","various","Jason Holmberg, ECOCEAN USA",6,111000,"{""oid"": ""103152481_1256747"", ""obsDate"": ""2005-06-21"", ""longitude"": -86.815, ""latitude"": 21.565, ""ZONE"": {""WDPA"": [{""DESIG_ENG"": ""Biosphere Reserve"", ""NAME"": ""Tiburón Ballena"", ""NO_TAKE"": ""Not Reported"", ""WDPAID"": 108090}]}, ""SST"": {""OISST"": {""DAY"": 27.7, ""8DAYS"": 28.15, ""MONTH"": 27.77, ""YEAR"": 26.83}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": 28.12, ""MONTH"": 27.66, ""YEAR"": 26.73}, ""HYCOM"": {""MONTH"": 28.54, ""YEAR"": 27.51}}, ""CHLOR-A"": {""MODIS"": {""DAY"": -9999, ""8DAYS"": 0.68, ""MONTH"": 1.27, ""YEAR"": 0.88}, ""SeaWiFS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 1.83, ""YEAR"": 1.05}}, ""SALINITY"": {""HYCOM"": {""MONTH"": 36.18, ""YEAR"": 36.17}}, ""BATH"": {""ETOPO1"": -10.0}}",NA,2020-06-30 03:44:11
103152481,"103152481_1256748",21.56056,-86.81416,"Rhincodon typus","Rhincodon typus","whale shark",159857,NA,NA,2005-06-21,"12:00:00",NA,"ptobs","various","Jason Holmberg, ECOCEAN USA",6,111000,"{""oid"": ""103152481_1256748"", ""obsDate"": ""2005-06-21"", ""longitude"": -86.814, ""latitude"": 21.561, ""ZONE"": {""WDPA"": [{""DESIG_ENG"": ""Biosphere Reserve"", ""NAME"": ""Tiburón Ballena"", ""NO_TAKE"": ""Not Reported"", ""WDPAID"": 108090}]}, ""SST"": {""OISST"": {""DAY"": 27.7, ""8DAYS"": 28.15, ""MONTH"": 27.77, ""YEAR"": 26.83}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": 28.12, ""MONTH"": 27.66, ""YEAR"": 26.73}, ""HYCOM"": {""MONTH"": 28.54, ""YEAR"": 27.51}}, ""CHLOR-A"": {""MODIS"": {""DAY"": -9999, ""8DAYS"": 0.68, ""MONTH"": 1.27, ""YEAR"": 0.88}, ""SeaWiFS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 1.83, ""YEAR"": 1.05}}, ""SALINITY"": {""HYCOM"": {""MONTH"": 36.18, ""YEAR"": 36.17}}, ""BATH"": {""ETOPO1"": -10.0}}",NA,2020-06-30 03:44:11
103152481,"103152481_1256749",21.55228,-86.80778,"Rhincodon typus","Rhincodon typus","whale shark",159857,NA,NA,2005-06-21,"12:00:00",NA,"ptobs","various","Jason Holmberg, ECOCEAN USA",6,111000,"{""oid"": ""103152481_1256749"", ""obsDate"": ""2005-06-21"", ""longitude"": -86.808, ""latitude"": 21.552, ""ZONE"": {""WDPA"": [{""DESIG_ENG"": ""Biosphere Reserve"", ""NAME"": ""Tiburón Ballena"", ""NO_TAKE"": ""Not Reported"", ""WDPAID"": 108090}]}, ""SST"": {""OISST"": {""DAY"": 27.7, ""8DAYS"": 28.15, ""MONTH"": 27.77, ""YEAR"": 26.83}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": 28.12, ""MONTH"": 27.66, ""YEAR"": 26.73}, ""HYCOM"": {""MONTH"": 28.55, ""YEAR"": 27.64}}, ""CHLOR-A"": {""MODIS"": {""DAY"": -9999, ""8DAYS"": 0.68, ""MONTH"": 1.27, ""YEAR"": 0.88}, ""SeaWiFS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 1.83, ""YEAR"": 1.05}}, ""SALINITY"": {""HYCOM"": {""MONTH"": 36.17, ""YEAR"": 36.16}}, ""BATH"": {""ETOPO1"": -10.0}}",NA,2020-06-30 03:44:11
103152481,"103152481_1256750",22.56444,-86.79417,"Rhincodon typus","Rhincodon typus","whale shark",159857,NA,NA,2005-06-21,"12:00:00",NA,"ptobs","various","Jason Holmberg, ECOCEAN USA",6,111000,"{""oid"": ""103152481_1256750"", ""obsDate"": ""2005-06-21"", ""longitude"": -86.794, ""latitude"": 22.564, ""SST"": {""OISST"": {""DAY"": 28.03, ""8DAYS"": 28.49, ""MONTH"": 28.3, ""YEAR"": 27.21}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": 28.76, ""MONTH"": 28.15, ""YEAR"": 27.22}, ""HYCOM"": {""MONTH"": 28.38, ""YEAR"": 27.33}}, ""CHLOR-A"": {""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 0.16, ""YEAR"": 0.29}, ""SeaWiFS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 0.17, ""YEAR"": 0.22}}, ""SALINITY"": {""HYCOM"": {""MONTH"": 36.19, ""YEAR"": 36.19}}, ""BATH"": {""ETOPO1"": -330.0}}",NA,2020-06-30 03:44:11
103152481,"103152481_1256756",21.58333,-86.85306,"Rhincodon typus","Rhincodon typus","whale shark",159857,NA,NA,2005-06-22,"12:00:00",NA,"ptobs","various","Jason Holmberg, ECOCEAN USA",6,111000,"{""oid"": ""103152481_1256756"", ""obsDate"": ""2005-06-22"", ""longitude"": -86.853, ""latitude"": 21.583, ""ZONE"": {""WDPA"": [{""DESIG_ENG"": ""Biosphere Reserve"", ""NAME"": ""Tiburón Ballena"", ""NO_TAKE"": ""Not Reported"", ""WDPAID"": 108090}]}, ""SST"": {""OISST"": {""DAY"": 27.76, ""8DAYS"": 28.05, ""MONTH"": 27.77, ""YEAR"": 26.83}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": 27.06, ""MONTH"": 27.17, ""YEAR"": 26.5}, ""HYCOM"": {""MONTH"": 28.69, ""YEAR"": 27.61}}, ""CHLOR-A"": {""MODIS"": {""DAY"": -9999, ""8DAYS"": 1.84, ""MONTH"": 1.78, ""YEAR"": 1.37}, ""SeaWiFS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 1.9, ""YEAR"": 2.1}}, ""SALINITY"": {""HYCOM"": {""MONTH"": 36.18, ""YEAR"": 36.17}}, ""BATH"": {""ETOPO1"": -7.0}}",NA,2020-06-30 03:44:11
103152481,"103152481_1256757",21.57028,-86.835,"Rhincodon typus","Rhincodon typus","whale shark",159857,NA,NA,2005-06-22,"12:00:00",NA,"ptobs","various","Jason Holmberg, ECOCEAN USA",6,111000,"{""oid"": ""103152481_1256757"", ""obsDate"": ""2005-06-22"", ""longitude"": -86.835, ""latitude"": 21.57, ""ZONE"": {""WDPA"": [{""DESIG_ENG"": ""Biosphere Reserve"", ""NAME"": ""Tiburón Ballena"", ""NO_TAKE"": ""Not Reported"", ""WDPAID"": 108090}]}, ""SST"": {""OISST"": {""DAY"": 27.76, ""8DAYS"": 28.05, ""MONTH"": 27.77, ""YEAR"": 26.83}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": 27.43, ""MONTH"": 27.35, ""YEAR"": 26.63}, ""HYCOM"": {""MONTH"": 28.54, ""YEAR"": 27.51}}, ""CHLOR-A"": {""MODIS"": {""DAY"": -9999, ""8DAYS"": 2.09, ""MONTH"": 1.9, ""YEAR"": 1.67}, ""SeaWiFS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 2.36, ""YEAR"": 2.58}}, ""SALINITY"": {""HYCOM"": {""MONTH"": 36.18, ""YEAR"": 36.17}}, ""BATH"": {""ETOPO1"": -7.0}}",NA,2020-06-30 03:44:11
